"version","subjCode","gender","Days","curTrialIndex","audio","audioType","expTimer","trialStart","trialTime","totalTime","lookAways","looking_time","audioStartTime","audioEndTime","subj_exclusion","subj_exclusion_reason","trial_exclusion"
"version3","Bird_105","m",238,1,"starling_1_70dB","birdsong",55640.132262,41131.9666628,14508.1655992,10148.7204616,1,9009.87174161,45475.2972062,10164.8008371,"no","","no"
"version3","Bird_105","m",238,2,"japanese_1_65dB","forward",69133.3443061,56450.7083605,12682.6359456,8127.19521267,3,6020.44804546,60990.7260584,8142.59361028,"no","","no"
"version3","Bird_105","m",238,3,"backjapanese_1_65dB","backward",84731.8146635,69729.5928458,15002.2218177,11014.5309545,3,8863.6081799,73700.4741338,11031.3001517,"no","","no"
"version3","Bird_105","m",238,4,"japanese_1_65dB","forward",94061.1703056,85450.4233191,8610.74698653,5617.48977375,2,3672.70055729,88427.5895485,5633.54790715,"no","","no"
"version3","Bird_105","m",238,5,"backjapanese_1_65dB","backward",129189.328431,94762.6508102,34426.6776212,15750.0224132,1,14611.0881466,113422.559063,15766.7443887,"no","","no"
"version3","Bird_105","m",238,6,"starling_1_70dB","birdsong",149287.254028,129936.018631,19351.2353963,14897.8945942,3,12250.4576746,134373.834427,14913.3925681,"no","","no"
"version3","Bird_105","m",238,7,"japanese_1_65dB","forward",162596.702279,149919.839706,12676.8625731,10415.4706674,2,8207.75552272,152161.325248,10435.3380222,"no","","no"
"version3","Bird_105","m",238,8,"starling_1_70dB","birdsong",169549.064428,163215.023566,6334.04086118,4214.50823335,2,2395.97869135,165321.678685,4227.3494704,"no","","no"
"version3","Bird_105","m",238,9,"backjapanese_1_65dB","backward",180968.797371,170259.908527,10708.8888448,8191.84144989,5,5931.37858088,172763.99184,8204.77747262,"no","","no"
"version3","Bird_105","m",238,10,"starling_1_70dB","birdsong",191401.270265,181582.1111,9819.15916537,6036.76110789,2,4617.45008011,185352.518596,6048.71505505,"no","","no"
"version3","Bird_105","m",238,11,"japanese_1_65dB","forward",203025.876836,192228.778442,10797.0983944,6452.92162352,2,5216.85837102,196551.291036,6474.54508,"no","","no"
"version3","Bird_105","m",238,12,"backjapanese_1_65dB","backward",212251.303902,203928.765302,8322.53860036,5402.6236132,2,3860.55895499,206834.477491,5416.78979681,"no","","no"
"version3","Bird_106","m",238,1,"starling_1_70dB","birdsong",55301.4968611,18222.2495211,37079.24734,34268.9761297,11,28784.4628115,21016.0666881,34285.3949278,"no","","no"
"version3","Bird_106","m",238,2,"backjapanese_1_65dB","backward",65399.9870653,56014.2058773,9385.78118809,6821.9240332,2,5326.23969078,58563.650132,6836.30066158,"no","","no"
"version3","Bird_106","m",238,3,"japanese_1_65dB","forward",80239.4714312,66133.1964815,14106.2749497,11402.2064877,3,9563.58443215,68814.5639413,11424.8742978,"no","","no"
"version3","Bird_106","m",238,4,"starling_1_70dB","birdsong",95283.831135,80978.3631982,14305.4679368,11620.1892839,6,9610.67410078,83647.252481,11636.5396447,"no","","no"
"version3","Bird_106","m",238,5,"backjapanese_1_65dB","backward",103085.386168,96012.5120535,7072.87411433,1550.67167811,2,160.157364793,101520.395007,1564.95694266,"no","","yes"
"version3","Bird_106","m",238,6,"japanese_1_65dB","forward",140754.157396,103791.348291,36962.8091057,34257.6165607,11,29496.2800893,106483.306426,34270.8170937,"no","","no"
"version3","Bird_106","m",238,7,"starling_1_70dB","birdsong",146555.402066,141734.696217,4820.70584886,2737.86862908,1,1600.62613306,143802.906328,2752.46220378,"no","","no"
"version3","Bird_106","m",238,8,"japanese_1_65dB","forward",162293.671395,147370.704788,14922.9666074,12577.4785774,4,10700.7485674,149699.501297,12594.1314311,"no","","no"
"version3","Bird_106","m",238,9,"backjapanese_1_65dB","backward",175162.662855,163108.31096,12054.3518951,9229.25100141,3,7979.1002682,165918.986293,9243.64405475,"no","","no"
"version3","Bird_106","m",238,10,"starling_1_70dB","birdsong",199121.130639,175795.410388,23325.7202515,18333.8331539,8,13887.0014256,180770.349667,18350.7453851,"no","","no"
"version3","Bird_106","m",238,11,"japanese_1_65dB","forward",206094.649502,199781.364654,6313.28484777,3501.9453309,1,2334.76800774,202574.403346,3520.20851484,"no","","no"
"version3","Bird_106","m",238,12,"backjapanese_1_65dB","backward",220639.451653,206804.866373,13834.5852801,11753.67286,6,9402.40461376,208868.914468,11770.502282,"no","","no"
"version3","Bird_107","m",209,1,"starling_1_70dB","birdsong",45399.9466877,24026.8953416,21373.0513461,19204.2289185,7,15849.0892081,26178.7129218,19221.0585676,"no","","no"
"version3","Bird_107","m",209,2,"backjapanese_1_65dB","backward",78375.4572437,46160.2643989,32215.1928448,30123.8447003,7,25349.3632977,48230.227053,30145.1993942,"no","","no"
"version3","Bird_107","m",209,3,"japanese_1_65dB","forward",102947.286855,79346.0680632,23601.2187919,21012.287495,5,19065.6083591,81918.2241184,21029.0326245,"no","","no"
"version3","Bird_107","m",209,4,"starling_1_70dB","birdsong",117510.389399,103754.463281,13755.9261183,11236.8082831,3,9536.28658892,106258.456913,11251.895872,"no","","no"
"version3","Bird_107","m",209,5,"japanese_1_65dB","forward",129920.55542,118279.547783,11641.0076369,9272.82625731,4,6830.31561025,120626.65985,9293.85758702,"no","","no"
"version3","Bird_107","m",209,6,"backjapanese_1_65dB","backward",142972.818935,130745.649298,12227.1696365,9543.56484837,3,7759.45061632,133412.81658,9559.96642487,"no","","no"
"version3","Bird_107","m",209,7,"starling_1_70dB","birdsong",150045.580998,143593.017662,6452.5633366,3694.62859661,2,2361.714439,146333.911283,3711.63720802,"no","","no"
"version3","Bird_107","m",209,8,"japanese_1_65dB","forward",157808.669033,150746.669692,7061.99934163,4331.62412289,2,3009.05522237,153457.530826,4351.11049062,"no","","no"
"version3","Bird_107","m",209,9,"backjapanese_1_65dB","backward",169105.211056,158533.494365,10571.7166906,7774.05367228,3,5099.95202576,161314.379747,7790.79401122,"no","","no"
"version3","Bird_107","m",209,10,"japanese_1_65dB","forward",182799.200794,169740.849821,13058.3509729,10127.9502272,6,7569.79327278,172653.506944,10145.655868,"no","","no"
"version3","Bird_107","m",209,11,"starling_1_70dB","birdsong",189786.905087,183447.402856,6339.50223138,3793.4206177,2,2156.05313709,185976.892296,3809.97788806,"no","","no"
"version3","Bird_107","m",209,12,"backjapanese_1_65dB","backward",198932.167101,190509.33992,8422.8271812,6285.8405517,3,3396.73563048,192629.700158,6302.43512015,"no","","no"
"version3","Bird_108","m",229,1,"starling_1_70dB","birdsong",45057.1803605,21293.1845105,23763.99585,21527.726165,3,18298.5174524,23512.6851131,21544.4637664,"no","","no"
"version3","Bird_108","m",229,2,"backjapanese_1_65dB","backward",53651.3682922,46010.5081368,7640.86015543,4864.83105333,2,3370.66358421,48769.2990218,4882.03573634,"no","","no"
"version3","Bird_108","m",229,3,"japanese_1_65dB","forward",61392.8956386,54450.287469,6942.60816957,2677.57584344,1,1509.14316374,58701.355255,2691.50650734,"no","","no"
"version3","Bird_108","m",229,4,"backjapanese_1_65dB","backward",82758.787121,62096.5575578,20662.2295632,13394.5377809,1,12257.5757887,69350.9876465,13407.7635452,"no","","no"
"version3","Bird_108","m",229,5,"japanese_1_65dB","forward",96987.7456969,83520.9187511,13466.8269458,8137.08483637,1,6999.93258971,88833.4123779,8154.30765515,"no","","no"
"version3","Bird_108","m",229,6,"starling_1_70dB","birdsong",122004.852515,97703.1849143,24301.6676008,16536.0118149,3,15194.8120074,105452.185223,16551.8296251,"no","","no"
"version3","Bird_108","m",229,7,"backjapanese_1_65dB","backward",151212.200443,122850.84256,28361.357883,23607.7935205,2,21984.0288913,127585.979615,23626.1842142,"no","","no"
"version3","Bird_108","m",229,8,"starling_1_70dB","birdsong",183458.657296,151983.403721,31475.2535757,29091.521974,2,27385.7422764,154351.083458,29107.5385933,"no","","no"
"version3","Bird_108","m",229,9,"japanese_1_65dB","forward",195496.756093,184110.278463,11386.4776304,9211.41102424,3,7284.92726194,186268.503101,9228.16025995,"no","","no"
"version3","Bird_108","m",229,10,"starling_1_70dB","birdsong",217353.754548,196216.090394,21137.6641543,12557.4893529,2,11006.0173104,204776.595759,12577.1023288,"no","","no"
"version3","Bird_108","m",229,11,"backjapanese_1_65dB","backward",228116.214333,218132.844831,9983.36950221,6030.23300695,1,4844.78795182,222069.069895,6047.08387144,"no","","no"
"version3","Bird_108","m",229,12,"japanese_1_65dB","forward",242711.910955,228741.453435,13970.4575209,5667.26925317,2,4207.12482405,237027.78331,5684.09103196,"no","","no"
"version3","Bird_109","f",219,1,"backjapanese_1_65dB","backward",47043.6264415,28002.4534612,19041.1729803,10511.587386,7,7798.17903221,36515.2579967,10528.335253,"yes","number of useable trials","no"
"version3","Bird_109","f",219,2,"japanese_1_65dB","forward",67675.5987027,47897.8152219,19777.7834809,16697.856763,17,8079.86683556,50961.6062404,16713.9575596,"yes","number of useable trials","no"
"version3","Bird_109","f",219,3,"starling_1_70dB","birdsong",73796.4058333,68427.9414673,5368.46436597,3151.33407382,5,648.67393329,70626.1715534,3170.20827388,"yes","number of useable trials","yes"
"version3","Bird_109","f",219,4,"japanese_1_65dB","forward",98674.4996068,74634.1064645,24040.3931423,5443.90128394,7,1344.72156809,93211.9663893,5462.50721153,"yes","number of useable trials","no"
"version3","Bird_109","f",219,5,"backjapanese_1_65dB","backward",108436.458092,99337.8559829,9098.6021088,1035.88041618,1,23.0252374604,107383.832888,1052.58893198,"yes","number of useable trials","yes"
"version3","Bird_109","f",219,6,"starling_1_70dB","birdsong",119923.525921,109079.304969,10844.2209525,3573.19082043,3,2064.96676365,116333.52085,3588.86457099,"yes","number of useable trials","no"
"version3","Bird_109","f",219,7,"backjapanese_1_65dB","backward",133097.459213,120764.339061,12333.1201525,3393.27238347,3,624.481505278,129687.270266,3410.1523336,"yes","number of useable trials","yes"
"version3","Bird_109","f",219,8,"japanese_1_65dB","forward",141006.172662,133928.923878,7077.24878371,3477.0952114,4,822.115164177,137511.599362,3494.54455616,"yes","number of useable trials","yes"
"version3","Bird_109","f",219,9,"starling_1_70dB","birdsong",154350.87233,141920.96125,12429.91108,3828.18825063,5,855.463758911,150505.284694,3845.54965401,"yes","number of useable trials","yes"
"version3","Bird_109","f",219,10,"japanese_1_65dB","forward",179192.346228,155008.398571,24183.9476568,3092.11292629,4,321.363727533,176083.252407,3109.05720705,"yes","number of useable trials","yes"
"version3","Bird_109","f",219,11,"starling_1_70dB","birdsong",202202.611756,180077.701151,22124.9106044,1034.9835512,1,23.1922233797,201150.775629,1051.80053943,"yes","number of useable trials","yes"
"version3","Bird_109","f",219,12,"backjapanese_1_65dB","backward",240133.660598,203040.508801,37093.1517977,16005.5892379,21,5583.22913818,224117.191269,16016.4320309,"yes","number of useable trials","no"
"version3","Bird_110","f",217,1,"backjapanese_1_65dB","backward",45755.2177969,24933.4174422,20821.8003546,18741.9324925,2,17423.0704742,26996.8741467,18758.3094318,"no","","no"
"version3","Bird_110","f",217,2,"starling_1_70dB","birdsong",83540.7106894,46877.7029991,36663.0076903,34269.360615,1,34171.1249855,49254.3486488,34286.3261112,"no","","no"
"version3","Bird_110","f",217,3,"japanese_1_65dB","forward",95912.8668814,84208.1996248,11704.6672566,9524.35291241,2,8191.4154863,86371.8338545,9540.99538666,"no","","no"
"version3","Bird_110","f",217,4,"backjapanese_1_65dB","backward",121693.957915,96750.3906034,24943.5673121,21881.3291258,4,18958.0338365,99798.5506443,21895.3692887,"no","","no"
"version3","Bird_110","f",217,5,"japanese_1_65dB","forward",132360.80286,122674.179665,9686.62319556,6799.11182649,1,5656.69233733,125544.888417,6815.87748707,"no","","no"
"version3","Bird_110","f",217,6,"starling_1_70dB","birdsong",142174.810652,133108.787566,9066.02308649,6850.94795309,1,5700.39440159,135308.068158,6866.70896065,"no","","no"
"version3","Bird_110","f",217,7,"backjapanese_1_65dB","backward",150952.739904,143027.778861,7924.96104233,4800.19347099,2,3158.64484079,146137.933111,4814.77394281,"no","","no"
