subjCode	sex	age	seed	experimenter	inputType	input	gaze	pygazeVersion	trialType	trialID	blockID	image	audio	audioType	audioDur	box	curTrialIndex	expTimer	trialStart	trialTime	totalTime	lookAways	totalLookingTime	totalLookingTimeNS	agScreenTime	startScreenTime	audioStartTime	audioEndTime
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	3	1	star1	starling_1_70dB	birdsong	34250	wp1	1	55640.132262	41131.9666628	14508.1655992	10148.7204616	1	9144.09957357	9009.87174161	41131.9752175	44457.1726078	45475.2972062	10164.8008371
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp3	2	69133.3443061	56450.7083605	12682.6359456	8127.19521267	3	6360.88950726	6020.44804546	56450.7439479	59970.4689531	60990.7260584	8142.59361028
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	2	1	star1	backjapanese_1_65dB	backward	34250	wp10	3	84731.8146635	69729.5928458	15002.2218177	11014.5309545	3	9167.13454983	8863.6081799	69729.6044802	72677.4244435	73700.4741338	11031.3001517
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp12	4	94061.1703056	85450.4233191	8610.74698653	5617.48977375	2	3959.15797456	3672.70055729	85450.4363221	87410.9890493	88427.5895485	5633.54790715
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	2	2	star1	backjapanese_1_65dB	backward	34250	wp4	5	129189.328431	94762.6508102	34426.6776212	15750.0224132	1	14746.275812	14611.0881466	94762.6836601	112404.758515	113422.559063	15766.7443887
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	3	2	star1	starling_1_70dB	birdsong	34250	wp2	6	149287.254028	129936.018631	19351.2353963	14897.8945942	3	12658.6017844	12250.4576746	129936.027528	133355.60683	134373.834427	14913.3925681
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp6	7	162596.702279	149919.839706	12676.8625731	10415.4706674	2	8420.8573691	8207.75552272	149919.853736	151127.053547	152161.325248	10435.3380222
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	3	3	star1	starling_1_70dB	birdsong	34250	wp5	8	169549.064428	163215.023566	6334.04086118	4214.50823335	2	2696.13178565	2395.97869135	163215.034516	164299.156989	165321.678685	4227.3494704
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	2	3	star1	backjapanese_1_65dB	backward	34250	wp9	9	180968.797371	170259.908527	10708.8888448	8191.84144989	5	6340.18242652	5931.37858088	170259.918108	171742.629129	172763.99184	8204.77747262
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	3	4	star1	starling_1_70dB	birdsong	34250	wp8	10	191401.270265	181582.1111	9819.15916537	6036.76110789	2	4883.99086773	4617.45008011	181582.122392	184330.25833	185352.518596	6048.71505505
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp11	11	203025.876836	192228.778442	10797.0983944	6452.92162352	2	4592.54505399	5216.85837102	192228.788707	195530.708511	196551.291036	6474.54508
Bird_105	m	7	105	cs	gaze	keyboard	yes	04	training	2	4	star1	backjapanese_1_65dB	backward	34250	wp7	12	212251.303902	203928.765302	8322.53860036	5402.6236132	2	4158.1990308	3860.55895499	203928.777963	205813.929185	206834.477491	5416.78979681
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	3	1	star1	starling_1_70dB	birdsong	34250	wp7	1	55301.4968611	18222.2495211	37079.24734	34268.9761297	11	30259.1413443	28784.4628115	18222.2587601	19961.9173674	21016.0666881	34285.3949278
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	2	1	star1	backjapanese_1_65dB	backward	34250	wp9	2	65399.9870653	56014.2058773	9385.78118809	6821.9240332	2	5611.1877229	5326.23969078	56014.2168272	57544.9178102	58563.650132	6836.30066158
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp8	3	80239.4714312	66133.1964815	14106.2749497	11402.2064877	3	10000.1676714	9563.58443215	66133.2057205	67762.5430214	68814.5639413	11424.8742978
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	3	2	star1	starling_1_70dB	birdsong	34250	wp10	4	95283.831135	80978.3631982	14305.4679368	11620.1892839	6	9946.27225325	9610.67410078	80978.3744904	82621.0587801	83647.252481	11636.5396447
